Issue key,Issue id,Summary,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Status
PP-8186,951870,cr.com - Healthday image size,Backlog cr.com,,,,,,Open
PP-6586,890074,CR.com - Healthday Article filters,Backlog cr.com,,,,,,Open
PP-4740,797037,On entering year of birth outside permitted range I see an uninformative error message,Backlog cr.com,,,,,,Open
PP-4695,792065,CR.com Mediguard Integration - UAT items,Backlog cr.com,,,,,,Development In Progress
PP-5905,865823,Performance Issue - CR.Com - Time spent for / URL is more from sitecore side.,,,,,,,Rejected
PP-5904,865822,Performance Issue -  CR.Com - Select and declare sql called multiple times for the URL /en/find-trials/search-result,,,,,,,Rejected
PP-5907,865829,Performance Issue - CR.Com - Restarted the app pool in one server usadc-vsscdsu02 during testing. ,,,,,,,Rejected
PP-5908,865831,Performance Issue - CR.Com 500 HTTP error for the highlighted URL in server usadc-vsscdsu02,,,,,,,Rejected
PP-5033,839749,CR.com outage due to tracker.current exception,,,,,,,Rejected
PP-6446,883062,"Use 'display title' metadata value on search results, featured trials and trial details",Backlog cr.com,,,,,,Open
PP-6445,883061,Trial meta data - display title field,Backlog cr.com,,,,,,Open
PP-4975,835951,Multiple exception and Memory utilization of Clinical Research Application,Backlog cr.com,,,,,,Open
PP-6447,883063,Trial title cut off and styling,Backlog cr.com,,,,,,Open
PP-7391,928006,CR.com resubscribe page change required,Backlog cr.com,,,,,,Open
PP-7202,919368,CR.com UI change to move or duplicate 'apply' and 'clear' buttons on conditions filter,Backlog cr.com,,,,,,Open
PP-5093,844213,Set password page ,Backlog cr.com,,,,,,Open
PP-5094,844216,forgot password functionality,Backlog cr.com,,,,,,Open
PP-5098,844390,Reset password functionality,Backlog cr.com,,,,,,Open
PP-5088,844202,Add my account/profile dropdown in header,Backlog cr.com,,,,,,Open
PP-5099,844392,Change password functionality,Backlog cr.com,,,,,,Open
PP-5090,844204,Sign up page functionality,Backlog cr.com,,,,,,Open
PP-5089,844203,CR.com footer amends,Backlog cr.com,,,,,,Open
PP-5594,859000,Log in page functionality,Backlog cr.com,,,,,,Open
PP-8379,957955,CR.com UI change to move or duplicate 'apply' and 'clear' buttons on TOPICS filter,Backlog cr.com,,,,,,Open
PP-9526,1003524,"cr.com - Featured Trials CTA, whole area to be clickable",Backlog cr.com,,,,,,Open
PP-8630,963787,Inhouse Mongo DB changes,GPSS Sprint 22,,,,,5,Rejected
PP-9809,1022579,"DTP Platform: ""Secondary Consent"" checkbox implementation",DAP - DTP Platform - Sprint 6,,,,,5,Development Complete
PP-10485,1055633,[EPIC 10489] DTP-KI-ELEMENTS Configurations,DAP - DTP Platform - Sprint 6,,,,,3,Development In Progress
PP-10486,1055638,[EPIC 10489] Ki-ELEMENTS – Welcome emails based on “patientType”,Place for priority stories,,,,,8,Development In Progress
PP-10869,1073074,[EPIC 10489] Collecting “referral years of education” and passing to ki-elements (Part 3 of PP-10270),DAP - DTP Platform - Sprint 6,,,,,3,Development In Progress
PP-10812,1070912,Sprint 4 Testing and Defect Fixes,DAP - DTP Platform - Sprint 5,,,,,5,Closed
PP-10290,1049616,GTM new approach for Cookie Management,DAP - DTP Platform - Sprint 5,,,,,5,Closed
PP-10731,1068811,[EPIC 10780] Cr.com: Map/assign to communities based on condition of interest value,DAP - DTP Platform - Sprint 5,,,,,8,Closed
PP-10487,1055639,"[EPIC 10489] Ki-ELEMENTS- Site selection success pages based on ""PatientType""",DAP - DTP Platform - Sprint 6,,,,,5,Open
PP-10650,1065238,[EPIC 10648] Opthea HCP- Welcome email,DAP - REGISTRY/CR.COM Sprint 6,,,,,5,Development In Progress
PP-8746,970014,"Preference Center, Analysis",,,,,,,Development In Progress
PP-10868,1073073,[EPIC 10489] Referral data passed to Ki-elements from DTP (Part 2 of PP-10270),Place for priority stories,,,,,3,Open
PP-10724,1068043,[EPIC 10648] Opthea HCP- Thank you page,DAP - REGISTRY/CR.COM Sprint 6,,,,,3,Open
PP-10396,1053706,[EPIC 10648] Opthea Physician (HCP) -- Registration,DAP - REGISTRY/CR.COM Sprint 6,,,,,5,Reopened
PP-10649,1065233,[EPIC 10648] Opthea HCP- Contact form implementation,DAP - REGISTRY/CR.COM Sprint 6,,,,,8,Development In Progress
PP-10291,1049617,SVT-Validation for existing cookie modules,DAP- DTP Platform-Sprint 2,DAP - DTP Platform - Sprint 6,,,,3,Reopened
PP-10270,1048198,[EPIC 10489] DTP- KI-Elements integration -Part 1,Place for priority stories,,,,,8,Open
PP-10831,1071621,"DTP : Pre-populate ""Contact Preference(s)"" for returning user",Place for priority stories,,,,,,Open
PP-10793,1070692,Marketing DB/Mongo Db - audit trail,Place for priority stories,,,,,,Open
PP-10996,1077511,Overriding Human API CTA button color on success page,,,,,,,Open
PP-10646,1065166,Sprint 3 Testing and Defect fixes,DAP - DTP Platform - Sprint 5,,,,,3,Closed
PP-10307,1050542,"Investigator site fields to be as ""shared"" at template level In SiteCore",Place for priority stories,,,,,3,Development In Progress
PP-10811,1070898,Sprint 4 Testing and Defect Fixes,DAP- REGISTRY/CR.COM Sprint 5,,,,,5,Closed
PP-10915,1075130,Roche registry- PDF/ZIP icon update,DAP- REGISTRY/CR.COM Sprint 5,,,,,3,Closed
PP-10916,1075140,RocheRegistry - H1 style Italic and rest should be non italic,DAP- REGISTRY/CR.COM Sprint 5,,,,,2,Closed
PP-10678,1065439, [EPIC 10648] Opthea HCP- Generating Spotfire Report (Analytics Team) ,Place for priority stories,,,,,,Open
PP-10872,1073080,[EPIC 10489] SPLUNK log management - DTP-Ki-elements integration ,Place for priority stories,,,,,,Open
PP-10871,1073079,[EPIC 10489] Registering referrals to ki-elements when Siteupdate job assign site to abandoned/no-site convenient/site-not found records (Part 5 of PP-10270),Place for priority stories,,,,,,Open
PP-10870,1073078,[EPIC 10489] Data passed back to DTP from Ki-elements (Part 4 of PP-10270),Place for priority stories,,,,,,Open
PP-10781,1070250,[EPIC 10780] DTP : Map/assign to communities based on condition of interest value,Place for priority stories,,,,,5,Open
PP-4534,775236,"Incorporate default regex validation rules for phone number, per country",,,,,,,Development In Progress
PP-5261,851377,"[EPIC 5260] Finalize approach, Timelines and plan for CICD improvements",,,,,,,Open
PP-10520,1058807,[EPIC 10491] Human API with Vendor redirection enabled,Place for priority stories,,,,,,Open
PP-10924,1075561,[EPIC 10920] Adding missed sources to cr.com to build the project successfully in CI-CD pipeline,,,,,,,Open
PP-10923,1075559,[EPIC 10920] CI/CD- Send a mail for quality gate pass or fail,,,,,,,Open
PP-10922,1075558,[EPIC 10920] CI/CD- Clean up activity for the unused branches for all projects. ,,,,,,,Open
PP-10921,1075557,[EPIC 10920] Integrate RITM with CI-CD,,,,,,,Open
PP-9478,997011,Abbvie ORIAHNN specific mailboxes,DAP-Registry Platform-Sprint 1,,,,,,Testing In Progress
PP-9479,997028,"""About ORIAHNN"" page and ""Important safety Information"" page",,,,,,2,Open
PP-9496,999994,DTP 1.1 Platform - Banner update,Place for priority stories,,,,,3,Deferred
PP-3498,709750,Toggle alternate functionality described on or off within the base epr implementation,,,,,,,Rejected
PP-10521,1058847,PROD ISSUE - URGENT - GSK BOOST/MENINGITIS Issue with Referral ID,,,,,,,Closed
PP-10339,1051475,ePR referral transfer via sFTP request,,,,,,,Closed
PP-9800,1021746,CR.com: Custom filter on Unsubscribe token for all existing and future records.,,,,,,,Closed
PP-9409,992006,"Re-visiting user, same protocol scenario needs amendment",DAP- DTP Platform - Sprint 1,DAP - DTP Platform- Sprint 3,,,,5,Closed
PP-9447,995169,Performance Testing Issues,GPSS Sprint 26,Place for priority stories,,,,,Development In Progress
PP-7705,938487,GSK Lithe SVT Issues,,,,,,,Development In Progress
PP-7671,937178,Background job anomalies,,,,,,,Open
PP-6273,877630,Dynamic Workflow - DTP 1.6 - Multiple Template Options,For Sitecore10,,,,,5,Development In Progress
PP-6274,877631,Dynamic Workflow - DTP 1.6 - Multiple Template Options - Analysis part II,For Sitecore10,,,,,3,Open
PP-6432,883003,Dynamic Workflow - Configure distinct workflows for an instance via the CMS,For Sitecore10,,,,,,Open
PP-6434,883006,Dynamic Workflow - Workflow sequence for screener can be set by an encrypted value in the URL,For Sitecore10,,,,,,Open
PP-6435,883007,Dynamic Workflow - User can start from where they left their preceding session on the DtP instance,For Sitecore10,,,,,,Open
PP-6436,883008,Dynamic Workflow - Integration with third party services occurs at consistent stage regardless of screener sequence,For Sitecore10,,,,,,Open
PP-6437,883011,Dynamic Workflow - There is a default workflow for the screener per instance,For Sitecore10,,,,,,Open
PP-6438,883012,"Dynamic Workflow - there is an encrypted, unique ID for each user visit",For Sitecore10,,,,,,Open
PP-6439,883013,Dynamic Workflow - Managing flow of information between stages of dynamic workflow,For Sitecore10,,,,,,Open
PP-6440,883015,Dynamic Workflow - Save all the data collected from each page / step in an Intermediate Tables / Repository against the unique id created,For Sitecore10,,,,,,Open
PP-6441,883016,Dynamic Workflow - Modify the Pages to read and / save to the Intermediate Tables by passing the Unique ID.,For Sitecore10,,,,,,Open
PP-6603,890234,Dynamic Workflow - Workflow 2: Pre-screener > contact form > site selection,For Sitecore10,,,,,,Open
PP-6433,883004,Dynamic Workflow - Sequence of steps for DtP instance are decoupled and can be re-sequenced,For Sitecore10,,,,,,Open
PP-6442,883017,Dynamic Workflow - Identify End Of User Journey and move the data to PII Tables.,For Sitecore10,,,,,,Open
PP-6444,883030,Dynamic Workflow - Identify the SQL Job to Persist data into PII tables for any incomplete User flow.,For Sitecore10,,,,,,Open
PP-6561,887740,dynamic workflow - handling of zip code ,For Sitecore10,,,,,,Open
PP-6600,890219,Dynamic Workflow - Workflow 1: screener > site selection > data capture,For Sitecore10,,,,,,Open
PP-6604,890235,Dynamic Workflow - Workflow 3: Contact form > pre-screener > Site selection,For Sitecore10,,,,,,Open
PP-10619,1061834,Sprint 3 Testing and Defect Fixes,DAP- REGISTRY/CR.COM Sprint 5,,,,,8,Closed
PP-10406,1054438,DTP:  “None of the site convenient to you?” link on Site selection page,Place for priority stories,,,,,,Open
PP-10876,1073557,DTP platform- Set patient referral status as “No-site-availability-max-Capacity” and threshold capacity tracking,Place for priority stories,,,,,,Open
PP-10875,1073556,"DTP platform- Set patient referral status as ""No-site-available""",Place for priority stories,,,,,,Open
PP-9680,1014934,Mongo DB - Update DTP to save SOURCE information,Place for priority stories,,,,,5,Open
PP-9508,1002386,Development Jira - Code changes,GPSS Sprint 27 - Rel - 2021.5,Place for priority stories,,,,,Development Complete
PP-9681,1014935,Mongo DB - Update CR.Com to save SOURCE information,Place for priority stories,,,,,3,Open
PP-10295,1049639,"DTP - Human API- Success pages based on ""PatientType""",DAP - DTP Platform - Sprint 4,,,,,8,Closed
PP-10553,1059344,Record Id Creation : Fool Proof Solution when Survey Gizmo encounters an issue,Place for priority stories,,,,,,Open
PP-10159,1040108,DTP Platform: Change to Caregiver flow  ,Place for priority stories,,,,,,Open
PP-10332,1051418,"""eConsent url"" and ""warm transfer number"" should be available on Site Management app",Place for priority stories,,,,,,Open
PP-10438,1055038,"ROCHE - ""Register a Patient"" - Healthcare provider form non-logged in page",DAP-Registry Platform Sprint 4,,,,,8,Closed
PP-10437,1055037,"ROCHE - ""Contact me"" - Patient registration form",DAP-Registry Platform Sprint 4,,,,,5,Closed
PP-10434,1055034,ROCHE - Show/Hide sections on patient facing web pages,DAP-Registry Platform Sprint 4,,,,,5,Closed
PP-10481,1055527,ROCHE - HCP – “Registry details” page,DAP-Registry Platform Sprint 4,,,,,5,Closed
PP-10480,1055525,ROCHE - HCP “My details” page,DAP-Registry Platform Sprint 4,,,,,3,Closed
PP-10479,1055524,ROCHE - HCP logged in – Registration form,DAP-Registry Platform Sprint 4,,,,,8,Closed
PP-10478,1055523,ROCHE - HCP Logged in -  Navigation menu,DAP-Registry Platform Sprint 4,,,,,3,Closed
PP-10473,1055518,ROCHE - Configuring CTA and Links on HCP login page,DAP-Registry Platform Sprint 4,,,,,3,Closed
PP-10468,1055513,ROCHE - Anchor links on HCP login page,DAP-Registry Platform Sprint 4,,,,,5,Closed
PP-10462,1055507,ROCHE - HCP  Login page content,DAP-Registry Platform Sprint 4,,,,,7,Closed
PP-10433,1055033,"ROCHE - ""I am interested......"" as per PP-9433",DAP-Registry Platform Sprint 4,,,,,2,Closed
PP-10460,1055505,ROCHE - GUI + Contact Form changes,DAP-Registry Platform Sprint 4,,,,,3,Closed
PP-10426,1055026,ROCHE - Top Navigation menu enhancements,DAP-Registry Platform Sprint 4,,,,,3,Closed
PP-10419,1055019,ROCHE - Main Menu navigation enhancements,DAP-Registry Platform Sprint 4,,,,,3,Closed
PP-9977,1031037,Roche OCREVUS - Patient Consent needs to be captured and saved correctly,DAP-Registry Platform Sprint 4,,,,,,Closed
PP-10459,1055504,ROCHE - View/Edit Patient + new fields,DAP-Registry Platform Sprint 4,,,,,3,Closed
PP-10789,1070367,Setting Up default Value 30 on ProtocolRestrictionInDays & WebsiteLevelRestrictionInDays,,,,,,,Development Complete
PP-3412,707589,Esperion/Kowa ePR - UAT feedback,,,,,,,Rejected
PP-4151,738658,Esperion Kowa 1.2 release UAT feedback - please add as sub-tasks of this jira,,,,,,,Closed
PP-3051,678781,Retrophin DUPLEX - Nephcure Referrals,,,,,,,Rejected
PP-9503,1001362,DTP - Anomaly Squared API integration,GPSS Sprint 30 - Rel 2021.6,Place for priority stories,,,,3,Development In Progress
PP-6424,882550,Retrospective update to activation/deactivation dates in master subject report,,,,,,,Development Complete
PP-6496,884684,Deployment Tools,GPSS Sprint 9,,,,,5,Development Complete
PP-6287,877956,Technical story - CI/CD - Build Tools,GPSS Sprint 9,,,,,3,Rejected
PP-4785,802398,Seres Ecoreset - iFrame implementation,,,,,,,Rejected
PP-4783,802396,Retrophin Duplex - iFrame implementation,,,,,,,Rejected
PP-4780,802333,Novartis Exchange - iFrame implementation,,,,,,,Rejected
PP-4848,810874,RegEx validation for ZIP Code to be handled by Google MAP API,,,,,,,Rejected
PP-4964,833563,For issue 1 reported in GSK Contrast ,,,,,,,Development Complete
PP-4965,833565,For issue 2 reported in Milestone Node ,,,,,,,Rejected
PP-9832,1024444,Display landing page with CTA button instead of Footer content on loading the application.,Place for priority stories,,,,,,Deferred
PP-10684,1066120,CLONE - Display landing page with CTA button instead of Footer content on loading the application.,,,,,,,Open
PP-9831,1024413,Sticky footer CTA button on mobile devices,,,,,,,Closed
PP-10271,1048215,DTP- KI-Elements Integration- Phase 2,,,,,,,Open
PP-9470,996251,Pregnancy Registries on the internal network do not load first time,,,,,,,Rejected
PP-6734,895526,"DtP platform - Threshold capacity, no-site-available tracking ",Place for priority stories,,,,,,Open
PP-6733,895511,DtP platform: Capability for distinct H1 and H2 content on contact form where outcome is DNQ,Place for priority stories,,,,,,Rejected
PP-6689,893603,Description of indexing process for patient DB (RITM sprint item?),Place for priority stories,,,,,,Rejected
PP-5363,853613,Vanity/Roche unavailibilty and multiple alerts (should be in RITM sprint?),,,,,,,Closed
PP-9424,992721,DevOps - CI/CD changes,GPSS Sprint 26,,,,,7,Closed
PP-10014,1034760,Emails to be configurable by Type Of Patient,Place for priority stories,,,,,,Rejected
PP-6634,891917,Multiple Study with mixture of LL enabled & disabled protocols,Place for priority stories,,,,,,Rejected
PP-5494,856430,"In read only questionnaire, when navigating between pages the page should focus to the top",GPSS Sprint 5,,,,,1,Closed
PP-9830,1024398,CTA button on Hero image area on Mobile devices.,,,,,,,Closed
PP-9829,1024395,"Remove ""HERO"" image from mobile devices ",,,,,,,Closed
PP-9411,992135,Use LUA script to add Timestamp in record ID,,,,,,,Closed
PP-8357,957709,StormChaser Test Site - Pixel Issue,Place for priority stories,,,,,,Rejected
PP-7244,921931,DevOps - Automated deployment into formal Environment. ,,,,,,,Closed
PP-7222,921152,"IFRAME - need to test with real survey - New jira to test on Prod - Evolution, Exchange",,,,,,,Closed
PP-7243,921930,"DevOps - Integration with SonarQube, Automated Unit Test and Quality gate analysis, Integration of PAF for Functional and Smoke testing ",,,,,,,Closed
PP-7242,921929,DevOps - Automated Build using MSBuild on GIT,,,,,,,Closed
PP-7241,921928,DevOps - Migration of TFS to GIT,,,,,,,Closed
PP-6972,911243,GPSS IP and PP Portal - Outage - Resolved - Monitoring update - For DTP 1.6,RITM / INC Release Sprint 19,,,,,,Closed
PP-6971,911242,GPSS IP and PP Portal - Outage - Resolved - Monitoring update - For COVID - AUS,RITM / INC Release Sprint 19,,,,,,Closed
PP-6970,911241,GPSS IP and PP Portal - Outage - Resolved - Monitoring update - For COVID -US,RITM / INC Release Sprint 19,,,,,,Closed
PP-6969,911240,GPSS IP and PP Portal - Outage - Resolved - Monitoring update - For DTP 1.1,RITM / INC Release Sprint 19,,,,,,Closed
PP-7497,932965,Mongo DB unavailability Issue,GPSS Sprint 16,,,,,,Development In Progress
PP-9480,997507,Registries Production Issue – Handling while GeoIP is down,GPSS Sprint 26,Place for priority stories,,,,,Testing In Progress
PP-4781,802334,Eiger D-LIVR - iFrame implementation,,,,,,,Closed
PP-9845,1025557,ORIAHNN- Patient and HCP facing UI changes,,,,,,,Open
PP-10331,1051416,Registry Session Code Fix Failing in Git,,,,,,,Development In Progress
PP-9312,986343,Additional Minor-DNQ pages required on DTP platform,GPSS Sprint 25,GPSS Sprint 27 - Rel - 2021.5,,,,3,Closed
PP-10507,1056554,DTP Platform - Sprint 2 Testing and defect fixes,DAP - DTP Platform- Sprint 3,,,,,5,Closed
PP-10496,1056011,Automatic website scan for cookies and updating the modal pop-up dynamically ,Place for priority stories,,,,,,Open
PP-10293,1049634,DTP - Human API- RH Integration,DAP - DTP Platform- Sprint 3,,,,,8,Closed
PP-10292,1049632,DTP - Human API- SiteCore Configurations,DAP - DTP Platform- Sprint 3,,,,,8,Closed
PP-10494,1055977,Registry Platform Sprint 2 - Testing and Defect Fixes,DAP-Registry Platform-Sprint 3,,,,,5,Closed
PP-10495,1055984,Sprint 2 Defect Fixes,DAP-Registry Platform-Sprint 3,,,,,5,Closed
PP-10305,1050537,Abbvie ORIAHNN 3rd Aug Demo Feedback,DAP-Registry Platform-Sprint 2,DAP-Registry Platform-Sprint 3,,,,3,Closed
PP-9794,1020600,Abbvie ORILISSA GUI + Contact Form changes,,,,,,,Open
PP-10456,1055410,ORIAHNN Demo Feedback 17th Aug,DAP-Registry Platform-Sprint 3,,,,,3,Closed
PP-10235,1043851,"""Referral ID"" to be included in registration welcome emails",DAP- DTP Platform-Sprint 2,,,,,5,Closed
PP-10418,1054947,[Clinical Research] Duplicate healthday article in call to action widget,,,,,,,Testing In Progress
PP-9875,1025756,DTP Page Load enhancement - Reduce Unused Resources,GPSS Sprint 33 Release 2021.7,DAP- DTP Platform - Sprint 1,,,,2,Closed
PP-9276,985147,Siteupdate Job Customization  (Background job),GPSS Sprint 26,GPSS Sprint 30 - Rel 2021.6,GPSS Sprint 33 Release 2021.7,DAP- DTP Platform - Sprint 1,,8,Closed
PP-9067,978361,Capturing GENDER and DOB from pre-screener and pre-populating it on the Contact Form,GPSS Sprint 33 Release 2021.7,DAP- DTP Platform - Sprint 1,,,,3,Closed
PP-10364,1052326,Site Update Job - Demo feedback ,,,,,,,Closed
PP-9584,1007815,Warm Transfer Number and eConsent url to be merge tags for Emails and on Success Pages,GPSS Sprint 30 - Rel 2021.6,GPSS Sprint 33 Release 2021.7,DAP- DTP Platform - Sprint 1,,,7,Closed
PP-10367,1052349,DAP Platform - Sprint 1 - Testing and Defect Fixes,DAP- DTP Platform-Sprint 2,,,,,8,Closed
PP-9848,1025671,Top Navigation menu enhancements,Registry Platform - Sprint 0,DAP-Registry Platform-Sprint 1,,,,3,Testing In Progress
PP-9974,1030974,Abbvie ORIAHNN - Patient Consent needs to be captured and saved correctly,,,,,,,Development In Progress
PP-9975,1031035,Abbvie ORILISSA - Patient Consent needs to be captured and saved correctly,,,,,,,Development In Progress
PP-10298,1050034,Dev and Local  sites are down,DAP-Registry Platform-Sprint 1,,,,,,Development Complete
PP-9249,983314,Pregnancy Registery Browser Back Button behaviour,GPSS Sprint 25,,,,,2,Development In Progress
PP-9857,1025695,HCP – “Registry details” page,DAP-Registry Platform-Sprint 2,,,,,5,Closed
PP-10115,1039008,"ORIAHNN - QCC  View/Edit Patient, new fields",DAP-Registry Platform-Sprint 2,,,,,5,Closed
PP-9694,1016355,Abbvie ORIAHNN GUI + Contact Form changes,DAP-Registry Platform-Sprint 2,,,,,3,Closed
PP-9852,1025688,"""Contact me"" - Patient registration form",DAP-Registry Platform-Sprint 2,,,,,5,Closed
PP-9860,1025699,HCP logged in – Registration form,DAP-Registry Platform-Sprint 2,,,,,8,Closed
PP-9859,1025697,HCP Logged in -  Navigation menu,DAP-Registry Platform-Sprint 2,,,,,3,Closed
PP-9858,1025696,HCP “My details” page,DAP-Registry Platform-Sprint 2,,,,,3,Closed
PP-9850,1025673,"""Register a Patient"" - Healthcare provider form non-logged in page",DAP-Registry Platform-Sprint 2,,,,,8,Closed
PP-10368,1052370,DAP - Registry Platform - Sprint 1 Testing and Defect fixes,DAP-Registry Platform-Sprint 2,,,,,8,Closed
PP-9957,1030256,Cookie related - SC_ANALYTICS_SESSION_COOKIE is created when going from Contact Info to Site Selection,GPSS Sprint 32 Release 2021.6,,,,,,Closed
PP-9891,1026003,fr cookie gtm implementation ,GPSS Sprint 32 Release 2021.6,,,,,3,Closed
PP-9687,1015718,"DTP - Contact Form,  Preferred Contact Time & Users Timezone",GPSS Sprint 30 - Rel 2021.6,GPSS Sprint 32 Release 2021.6,,,,7,Closed
PP-9611,1009127,ROCHE OCREVUS Changes (GUI + Contact Form)  ESTIMATION ONLY,,,,,,,Closed
PP-9400,990918,Roche - Request from ROCHE Sponsor for pregnancy registry,GPSS Sprint 25,,,,,3,Closed
PP-9855,1025692,Configuring CTA and Links on HCP login page,DAP-Registry Platform-Sprint 1,,,,,3,Closed
PP-9856,1025694,Anchor links on HCP login page,DAP-Registry Platform-Sprint 1,,,,,5,Closed
PP-9883,1025967,HCP - Login page content,DAP-Registry Platform-Sprint 1,,,,,7,Closed
PP-9853,1025689,Show/Hide sections on patient facing web pages,DAP-Registry Platform-Sprint 1,,,,,5,Closed
PP-9233,982411,"Registry - Contact Form to be shown always or only when 'I Am Interested..."" checkbox",GPSS Sprint 25,,,,,3,Rejected
PP-9849,1025672,Main Menu navigation enhancements,Registry Platform - Sprint 0,DAP-Registry Platform-Sprint 1,,,,3,Closed
PP-10404,1054285,[Clinical Research] Find trial api call not working,,,,,,,Testing In Progress
PP-9696,1016414,Registry Refactoring,GPSS Sprint 30 - Rel 2021.6,GPSS Sprint 31 - Rel 2021.6,Registry Platform - Sprint 0,DAP-Registry Platform-Sprint 1,,5,Closed
PP-9842,1025401,ABBVIE ORIAHNN and ORILISSA - Landing page UI changes ,Registry Platform - Sprint 0,DAP-Registry Platform-Sprint 1,,,,3,Closed
PP-10003,1034507,Migration of existing Abbvie and Abbvie Oriahnn in new platform,Registry Platform - Sprint 0,DAP-Registry Platform-Sprint 1,,,,5,Closed
PP-9931,1029402,Registry Technical Tasks,Registry Platform - Sprint 0,DAP-Registry Platform-Sprint 1,,,,5,Closed
PP-9877,1025759,DTP page load enhancement- Minify Static Resources,GPSS Sprint 33 Release 2021.7,DAP- DTP Platform - Sprint 1,,,,3,Closed
PP-9876,1025758,DTP Page load enhancement- Eliminate Render-Blocking Resources,GPSS Sprint 33 Release 2021.7,DAP- DTP Platform - Sprint 1,,,,2,Closed
